year,state,state_po,county,FIPS,candidate,party,candidatevotes,0
2016,Wisconsin,WI,Shawano,55115,Donald Trump,republican,12742,161
2016,Wisconsin,WI,Shawano,55115,Hillary Clinton,democrat,6056,162
2016,Wisconsin,WI,Shawano,55115,Other,NA,953,
2016,Wisconsin,WI,Sheboygan,55117,Donald Trump,republican,32458,163
2016,Wisconsin,WI,Sheboygan,55117,Hillary Clinton,democrat,22956,164
2016,Wisconsin,WI,Sheboygan,55117,Other,NA,4241,
2016,Wisconsin,WI,St. Croix,55109,Donald Trump,republican,26220,165
2016,Wisconsin,WI,St. Croix,55109,Hillary Clinton,democrat,17486,166
2016,Wisconsin,WI,St. Croix,55109,Other,NA,3802,
2016,Wisconsin,WI,Taylor,55119,Donald Trump,republican,6589,167
2016,Wisconsin,WI,Taylor,55119,Hillary Clinton,democrat,2398,168
2016,Wisconsin,WI,Taylor,55119,Other,NA,497,
2016,Wisconsin,WI,Trempealeau,55121,Donald Trump,republican,7364,169
2016,Wisconsin,WI,Trempealeau,55121,Hillary Clinton,democrat,5636,170
2016,Wisconsin,WI,Trempealeau,55121,Other,NA,675,
2016,Wisconsin,WI,Vernon,55123,Donald Trump,republican,6996,171
2016,Wisconsin,WI,Vernon,55123,Hillary Clinton,democrat,6352,172
2016,Wisconsin,WI,Vernon,55123,Other,NA,865,
2016,Wisconsin,WI,Vilas,55125,Donald Trump,republican,8169,173
2016,Wisconsin,WI,Vilas,55125,Hillary Clinton,democrat,4770,174
2016,Wisconsin,WI,Vilas,55125,Other,NA,673,
2016,Wisconsin,WI,Walworth,55127,Donald Trump,republican,28851,175
2016,Wisconsin,WI,Walworth,55127,Hillary Clinton,democrat,18706,176
2016,Wisconsin,WI,Walworth,55127,Other,NA,3767,
2016,Wisconsin,WI,Washburn,55129,Donald Trump,republican,5404,177
2016,Wisconsin,WI,Washburn,55129,Hillary Clinton,democrat,3284,178
2016,Wisconsin,WI,Washburn,55129,Other,NA,460,
2016,Wisconsin,WI,Washington,55131,Donald Trump,republican,51729,179
2016,Wisconsin,WI,Washington,55131,Hillary Clinton,democrat,20855,180
2016,Wisconsin,WI,Washington,55131,Other,NA,5419,
2016,Wisconsin,WI,Waukesha,55133,Donald Trump,republican,142521,181
2016,Wisconsin,WI,Waukesha,55133,Hillary Clinton,democrat,79200,182
2016,Wisconsin,WI,Waukesha,55133,Other,NA,17321,
2016,Wisconsin,WI,Waupaca,55135,Donald Trump,republican,16189,183
2016,Wisconsin,WI,Waupaca,55135,Hillary Clinton,democrat,8440,184
2016,Wisconsin,WI,Waupaca,55135,Other,NA,1395,
2016,Wisconsin,WI,Waushara,55137,Donald Trump,republican,7669,185
2016,Wisconsin,WI,Waushara,55137,Hillary Clinton,democrat,3792,186
2016,Wisconsin,WI,Waushara,55137,Other,NA,538,
2016,Wisconsin,WI,Winnebago,55139,Donald Trump,republican,43448,187
2016,Wisconsin,WI,Winnebago,55139,Hillary Clinton,democrat,37054,188
2016,Wisconsin,WI,Winnebago,55139,Other,NA,6642,
2016,Wisconsin,WI,Wood,55141,Donald Trump,republican,21503,189
2016,Wisconsin,WI,Wood,55141,Hillary Clinton,democrat,14232,190
2016,Wisconsin,WI,Wood,55141,Other,NA,2065,
2016,West Virginia,WV,Barbour,54001,Donald Trump,republican,4527,191
2016,West Virginia,WV,Barbour,54001,Hillary Clinton,democrat,1222,192
2016,West Virginia,WV,Barbour,54001,Other,NA,305,
2016,West Virginia,WV,Berkeley,54003,Donald Trump,republican,28244,193
2016,West Virginia,WV,Berkeley,54003,Hillary Clinton,democrat,12321,194
2016,West Virginia,WV,Berkeley,54003,Other,NA,2285,
2016,West Virginia,WV,Boone,54005,Donald Trump,republican,6504,195
2016,West Virginia,WV,Boone,54005,Hillary Clinton,democrat,1790,196
2016,West Virginia,WV,Boone,54005,Other,NA,389,
2016,West Virginia,WV,Braxton,54007,Donald Trump,republican,3537,197
2016,West Virginia,WV,Braxton,54007,Hillary Clinton,democrat,1321,198
2016,West Virginia,WV,Braxton,54007,Other,NA,232,
2016,West Virginia,WV,Brooke,54009,Donald Trump,republican,6625,199
2016,West Virginia,WV,Brooke,54009,Hillary Clinton,democrat,2568,200
2016,West Virginia,WV,Brooke,54009,Other,NA,420,
2016,West Virginia,WV,Cabell,54011,Donald Trump,republican,19850,201
2016,West Virginia,WV,Cabell,54011,Hillary Clinton,democrat,11447,202
2016,West Virginia,WV,Cabell,54011,Other,NA,1788,
2016,West Virginia,WV,Calhoun,54013,Donald Trump,republican,2035,203
2016,West Virginia,WV,Calhoun,54013,Hillary Clinton,democrat,456,204
