STATE_NAME,STUSPS,COUNTY_NAME,FIPS,PARTY
Utah,UT,Tooele,49045,republican
Utah,UT,Uintah,49047,republican
Utah,UT,Utah,49049,republican
Utah,UT,Wasatch,49051,republican
Utah,UT,Washington,49053,republican
Utah,UT,Wayne,49055,republican
Utah,UT,Weber,49057,republican
Texas,TX,Anderson,48001,republican
Texas,TX,Andrews,48003,republican
Texas,TX,Angelina,48005,republican
Texas,TX,Aransas,48007,republican
Texas,TX,Archer,48009,republican
Texas,TX,Armstrong,48011,republican
Texas,TX,Atascosa,48013,republican
Texas,TX,Austin,48015,republican
Texas,TX,Bailey,48017,republican
Texas,TX,Bandera,48019,republican
Texas,TX,Bastrop,48021,republican
Texas,TX,Baylor,48023,republican
Texas,TX,Bee,48025,republican
Texas,TX,Bell,48027,republican
Texas,TX,Bexar,48029,democrat
Texas,TX,Blanco,48031,republican
Texas,TX,Borden,48033,republican
Texas,TX,Bosque,48035,republican
Texas,TX,Bowie,48037,republican
Texas,TX,Brazoria,48039,republican
Texas,TX,Brazos,48041,republican
Texas,TX,Brewster,48043,republican
Texas,TX,Briscoe,48045,republican
Texas,TX,Brooks,48047,democrat
Texas,TX,Brown,48049,republican
Texas,TX,Burleson,48051,republican
Texas,TX,Burnet,48053,republican
Texas,TX,Caldwell,48055,republican
Texas,TX,Calhoun,48057,republican
Texas,TX,Callahan,48059,republican
Texas,TX,Cameron,48061,democrat
Texas,TX,Camp,48063,republican
Texas,TX,Carson,48065,republican
Texas,TX,Cass,48067,republican
Texas,TX,Castro,48069,republican
Texas,TX,Chambers,48071,republican
Texas,TX,Cherokee,48073,republican
Texas,TX,Childress,48075,republican
Texas,TX,Clay,48077,republican
Texas,TX,Cochran,48079,republican
Texas,TX,Coke,48081,republican
Texas,TX,Coleman,48083,republican
Texas,TX,Collin,48085,republican
Texas,TX,Collingsworth,48087,republican
Texas,TX,Colorado,48089,republican
Texas,TX,Comal,48091,republican
Texas,TX,Comanche,48093,republican
Texas,TX,Concho,48095,republican
Texas,TX,Cooke,48097,republican
Texas,TX,Coryell,48099,republican
Texas,TX,Cottle,48101,republican
Texas,TX,Crane,48103,republican
Texas,TX,Crockett,48105,republican
Texas,TX,Crosby,48107,republican
Texas,TX,Culberson,48109,democrat
Texas,TX,Dallam,48111,republican
Texas,TX,Dallas,48113,democrat
Texas,TX,Dawson,48115,republican
Texas,TX,Deaf Smith,48117,republican
Texas,TX,Delta,48119,republican
Texas,TX,Denton,48121,republican
Texas,TX,Dewitt,48123,republican
Texas,TX,Dickens,48125,republican
Texas,TX,Dimmit,48127,democrat
Texas,TX,Donley,48129,republican
Texas,TX,Duval,48131,democrat
Texas,TX,Eastland,48133,republican
Texas,TX,Ector,48135,republican
Texas,TX,Edwards,48137,republican
Texas,TX,El Paso,48141,democrat
Texas,TX,Ellis,48139,republican
Texas,TX,Erath,48143,republican
Texas,TX,Falls,48145,republican
Texas,TX,Fannin,48147,republican
Texas,TX,Fayette,48149,republican
Texas,TX,Fisher,48151,republican
Texas,TX,Floyd,48153,republican
Texas,TX,Foard,48155,republican
Texas,TX,Fort Bend,48157,democrat
Texas,TX,Franklin,48159,republican
Texas,TX,Freestone,48161,republican
Texas,TX,Frio,48163,democrat
Texas,TX,Gaines,48165,republican
Texas,TX,Galveston,48167,republican
Texas,TX,Garza,48169,republican
Texas,TX,Gillespie,48171,republican
Texas,TX,Glasscock,48173,republican
Texas,TX,Goliad,48175,republican
Texas,TX,Gonzales,48177,republican
Texas,TX,Gray,48179,republican
Texas,TX,Grayson,48181,republican
Texas,TX,Gregg,48183,republican
Texas,TX,Grimes,48185,republican
Texas,TX,Guadalupe,48187,republican
Texas,TX,Hale,48189,republican
Texas,TX,Hall,48191,republican
Texas,TX,Hamilton,48193,republican
Texas,TX,Hansford,48195,republican
Texas,TX,Hardeman,48197,republican
Texas,TX,Hardin,48199,republican
Texas,TX,Harris,48201,democrat
Texas,TX,Harrison,48203,republican
Texas,TX,Hartley,48205,republican
Texas,TX,Haskell,48207,republican
Texas,TX,Hays,48209,republican
Texas,TX,Hemphill,48211,republican
Texas,TX,Henderson,48213,republican
Texas,TX,Hidalgo,48215,democrat
Texas,TX,Hill,48217,republican
Texas,TX,Hockley,48219,republican
Texas,TX,Hood,48221,republican
Texas,TX,Hopkins,48223,republican
Texas,TX,Houston,48225,republican
Texas,TX,Howard,48227,republican
Texas,TX,Hudspeth,48229,republican
Texas,TX,Hunt,48231,republican
Texas,TX,Hutchinson,48233,republican
Texas,TX,Irion,48235,republican
Texas,TX,Jack,48237,republican
Texas,TX,Jackson,48239,republican
Texas,TX,Jasper,48241,republican
Texas,TX,Jeff Davis,48243,republican
Texas,TX,Jefferson,48245,republican
Texas,TX,Jim Hogg,48247,democrat
Texas,TX,Jim Wells,48249,democrat
Texas,TX,Johnson,48251,republican
Texas,TX,Jones,48253,republican
Texas,TX,Karnes,48255,republican
Texas,TX,Kaufman,48257,republican
Texas,TX,Kendall,48259,republican
Texas,TX,Kenedy,48261,democrat
Texas,TX,Kent,48263,republican
Texas,TX,Kerr,48265,republican
Texas,TX,Kimble,48267,republican
Texas,TX,King,48269,republican
Texas,TX,Kinney,48271,republican
Texas,TX,Kleberg,48273,democrat
Texas,TX,Knox,48275,republican
Texas,TX,La Salle,48283,democrat
Texas,TX,Lamar,48277,republican
Texas,TX,Lamb,48279,republican
Texas,TX,Lampasas,48281,republican
Texas,TX,Lavaca,48285,republican
Texas,TX,Lee,48287,republican
Texas,TX,Leon,48289,republican
Texas,TX,Liberty,48291,republican
Texas,TX,Limestone,48293,republican
Texas,TX,Lipscomb,48295,republican
Texas,TX,Live Oak,48297,republican
Texas,TX,Llano,48299,republican
Texas,TX,Loving,48301,republican
Texas,TX,Lubbock,48303,republican
Texas,TX,Lynn,48305,republican
Texas,TX,Madison,48313,republican
Texas,TX,Marion,48315,republican
Texas,TX,Martin,48317,republican
Texas,TX,Mason,48319,republican
Texas,TX,Matagorda,48321,republican
Texas,TX,Maverick,48323,democrat
Texas,TX,McCulloch,48307,republican
Texas,TX,McLennan,48309,republican
Texas,TX,McMullen,48311,republican
Texas,TX,Medina,48325,republican
Texas,TX,Menard,48327,republican
Texas,TX,Midland,48329,republican
Texas,TX,Milam,48331,republican
Texas,TX,Mills,48333,republican
Texas,TX,Mitchell,48335,republican
Texas,TX,Montague,48337,republican
Texas,TX,Montgomery,48339,republican
Texas,TX,Moore,48341,republican
Texas,TX,Morris,48343,republican
Texas,TX,Motley,48345,republican
Texas,TX,Nacogdoches,48347,republican
Texas,TX,Navarro,48349,republican
Texas,TX,Newton,48351,republican
Texas,TX,Nolan,48353,republican
Texas,TX,Nueces,48355,republican
Texas,TX,Ochiltree,48357,republican
Texas,TX,Oldham,48359,republican
Texas,TX,Orange,48361,republican
Texas,TX,Palo Pinto,48363,republican
